####################################################################################################
# Month: 09Sep                                                                                     #
# Station: NOR                                                                                     #
# Columns are: year    month   day     segment         windspeed (m/s)                             #
####################################################################################################
year,month,day,segment,windspeed
2009,09,1,0,8.672337
2009,09,1,1,8.322007
2009,09,1,2,6.865298
2009,09,1,3,6.300192
2009,09,1,4,6.266015
2009,09,1,5,6.374058
2009,09,1,6,6.12476
2009,09,1,7,4.573581
2009,09,2,0,4.166663
2009,09,2,1,5.723837
2009,09,2,2,6.440457
2009,09,2,3,6.771794
2009,09,2,4,5.682026
2009,09,2,5,4.466361
2009,09,2,6,4.098617
2009,09,2,7,3.903982
2009,09,3,0,2.378518
2009,09,3,1,1.961821
2009,09,3,2,3.013042
2009,09,3,3,3.435499
2009,09,3,4,3.03037
2009,09,3,5,2.694172
2009,09,3,6,7.380712
2009,09,3,7,5.949995
2009,09,4,0,2.482396
2009,09,4,1,2.06207
2009,09,4,2,3.859363
2009,09,4,3,4.866794
2009,09,4,4,5.736039
2009,09,4,5,6.625508
2009,09,4,6,7.003513
2009,09,4,7,7.434955
2009,09,5,0,7.081225
2009,09,5,1,5.328291
2009,09,5,2,3.539637
2009,09,5,3,3.745986
2009,09,5,4,3.364376
2009,09,5,5,3.026069
2009,09,5,6,4.076926
2009,09,5,7,5.273809
2009,09,6,0,5.351786
2009,09,6,1,5.055893
2009,09,6,2,3.359089
2009,09,6,3,4.414746
2009,09,6,4,3.188705
2009,09,6,5,0.842383
2009,09,6,6,2.218873
2009,09,6,7,2.96497
2009,09,7,0,3.083415
2009,09,7,1,2.884204
2009,09,7,2,3.813938
2009,09,7,3,5.417715
2009,09,7,4,6.645975
2009,09,7,5,8.015917
2009,09,7,6,8.455426
2009,09,7,7,8.375211
2009,09,8,0,8.569748
2009,09,8,1,8.842416
2009,09,8,2,7.867302
2009,09,8,3,8.035365
2009,09,8,4,9.593037
2009,09,8,5,12.392359
2009,09,8,6,14.551514
2009,09,8,7,15.400135
2009,09,9,0,14.241687
2009,09,9,1,12.056915
2009,09,9,2,11.654241
2009,09,9,3,14.068147
2009,09,9,4,16.122254
2009,09,9,5,18.586994
2009,09,9,6,21.172154
2009,09,9,7,20.466969
2009,09,10,0,18.296947
2009,09,10,1,16.509311
2009,09,10,2,14.750074
2009,09,10,3,13.699544
2009,09,10,4,13.637792
2009,09,10,5,12.859134
2009,09,10,6,12.420944
2009,09,10,7,14.174975
2009,09,11,0,13.29746
2009,09,11,1,11.505998
2009,09,11,2,9.032215
2009,09,11,3,8.526926
2009,09,11,4,10.462128
2009,09,11,5,7.825394
2009,09,11,6,11.698583
2009,09,11,7,18.283463
2009,09,12,0,23.522333
2009,09,12,1,25.882762
2009,09,12,2,22.905537
2009,09,12,3,17.690238
2009,09,12,4,17.630312
2009,09,12,5,19.436585
2009,09,12,6,21.226213
2009,09,12,7,19.453639
2009,09,13,0,17.237622
2009,09,13,1,15.633434
2009,09,13,2,12.894376
2009,09,13,3,10.039602
2009,09,13,4,6.427858
2009,09,13,5,5.796534
2009,09,13,6,6.906406
2009,09,13,7,7.611936
2009,09,14,0,7.602977
2009,09,14,1,6.601663
2009,09,14,2,5.444005
2009,09,14,3,6.169277
2009,09,14,4,7.35053
2009,09,14,5,10.744314
2009,09,14,6,12.732908
2009,09,14,7,16.717766
2009,09,15,0,16.155101
2009,09,15,1,13.499845
2009,09,15,2,9.596622
2009,09,15,3,6.699057
2009,09,15,4,6.163417
2009,09,15,5,7.539766
2009,09,15,6,8.17098
2009,09,15,7,8.058262
2009,09,16,0,8.116986
2009,09,16,1,8.134888
2009,09,16,2,5.400901
2009,09,16,3,4.410635
2009,09,16,4,5.720444
2009,09,16,5,6.060569
2009,09,16,6,5.288464
2009,09,16,7,3.968693
2009,09,17,0,2.070193
2009,09,17,1,2.524669
2009,09,17,2,2.363331
2009,09,17,3,2.705043
2009,09,17,4,4.239565
2009,09,17,5,5.873406
2009,09,17,6,6.331406
2009,09,17,7,7.367668
2009,09,18,0,7.409819
2009,09,18,1,8.168125
2009,09,18,2,6.845374
2009,09,18,3,4.475672
2009,09,18,4,3.226864
2009,09,18,5,3.745119
2009,09,18,6,6.020696
2009,09,18,7,6.952124
2009,09,19,0,5.198393
2009,09,19,1,6.807568
2009,09,19,2,9.862992
2009,09,19,3,12.367944
2009,09,19,4,12.867055
2009,09,19,5,13.975339
2009,09,19,6,16.737382
2009,09,19,7,18.163076
2009,09,20,0,13.860961
2009,09,20,1,9.320045
2009,09,20,2,9.267517
2009,09,20,3,9.044657
2009,09,20,4,8.029858
2009,09,20,5,3.892754
2009,09,20,6,3.799232
2009,09,20,7,4.210891
2009,09,21,0,6.03423
2009,09,21,1,7.685497
2009,09,21,2,7.061778
2009,09,21,3,7.37277
2009,09,21,4,8.819543
2009,09,21,5,9.844994
2009,09,21,6,8.818681
2009,09,21,7,8.037838
2009,09,22,0,6.198375
2009,09,22,1,4.128448
2009,09,22,2,2.41407
2009,09,22,3,1.725198
2009,09,22,4,2.482168
2009,09,22,5,3.503899
2009,09,22,6,3.517884
2009,09,22,7,3.257973
2009,09,23,0,2.80528
2009,09,23,1,2.522621
2009,09,23,2,2.95511
2009,09,23,3,3.045783
2009,09,23,4,3.66283
2009,09,23,5,3.900087
2009,09,23,6,3.316944
2009,09,23,7,3.0538
2009,09,24,0,2.125909
2009,09,24,1,1.344544
2009,09,24,2,0.52633
2009,09,24,3,2.430268
2009,09,24,4,3.590646
2009,09,24,5,1.556075
2009,09,24,6,0.86549
2009,09,24,7,2.192562
2009,09,25,0,3.115691
2009,09,25,1,3.368104
2009,09,25,2,2.885283
2009,09,25,3,3.645303
2009,09,25,4,3.577787
2009,09,25,5,4.3396
2009,09,25,6,4.544065
2009,09,25,7,4.822057
2009,09,26,0,5.236308
2009,09,26,1,3.449585
2009,09,26,2,1.047308
2009,09,26,3,2.388751
2009,09,26,4,4.739458
2009,09,26,5,7.065966
2009,09,26,6,7.182409
2009,09,26,7,5.405479
2009,09,27,0,4.947904
2009,09,27,1,4.465717
2009,09,27,2,3.932461
2009,09,27,3,4.193311
2009,09,27,4,5.591461
2009,09,27,5,6.769044
2009,09,27,6,8.13913
2009,09,27,7,11.069059
2009,09,28,0,14.84334
2009,09,28,1,17.335154
2009,09,28,2,18.158747
2009,09,28,3,16.183529
2009,09,28,4,15.31912
2009,09,28,5,14.465477
2009,09,28,6,14.466015
2009,09,28,7,16.076127
2009,09,29,0,15.49927
2009,09,29,1,14.499873
2009,09,29,2,13.598947
2009,09,29,3,14.250536
2009,09,29,4,16.944204
2009,09,29,5,14.733709
2009,09,29,6,11.624809
2009,09,29,7,8.954195
2009,09,30,0,7.514983
2009,09,30,1,9.115055
2009,09,30,2,9.206392
2009,09,30,3,6.853224
2009,09,30,4,7.854183
2009,09,30,5,7.121931
2009,09,30,6,6.194164
2009,09,30,7,5.770995
