####################################################################################################
# Month: 10Oct                                                                                     #
# Station: SAN                                                                                     #
# Columns are: year    month   day     segment         windspeed (m/s)                             #
####################################################################################################
year,month,day,segment,windspeed
2009,10,1,0,11.65381
2009,10,1,1,9.503335
2009,10,1,2,7.181921
2009,10,1,3,7.199466
2009,10,1,4,7.391507
2009,10,1,5,6.801915
2009,10,1,6,5.762431
2009,10,1,7,5.747417
2009,10,2,0,6.112167
2009,10,2,1,6.904466
2009,10,2,2,6.422766
2009,10,2,3,7.70222
2009,10,2,4,10.764897
2009,10,2,5,10.862501
2009,10,2,6,11.092442
2009,10,2,7,9.676194
2009,10,3,0,9.122525
2009,10,3,1,9.941282
2009,10,3,2,8.372471
2009,10,3,3,8.042881
2009,10,3,4,8.379143
2009,10,3,5,8.687607
2009,10,3,6,10.594337
2009,10,3,7,11.811163
2009,10,4,0,14.855088
2009,10,4,1,17.088061
2009,10,4,2,18.146397
2009,10,4,3,20.402024
2009,10,4,4,24.466928
2009,10,4,5,26.709529
2009,10,4,6,27.956886
2009,10,4,7,25.09762
2009,10,5,0,21.110618
2009,10,5,1,17.474497
2009,10,5,2,14.563349
2009,10,5,3,13.917999
2009,10,5,4,13.853531
2009,10,5,5,11.475266
2009,10,5,6,9.055568
2009,10,5,7,5.961489
2009,10,6,0,3.338233
2009,10,6,1,4.332307
2009,10,6,2,4.925127
2009,10,6,3,4.183459
2009,10,6,4,2.549769
2009,10,6,5,2.903173
2009,10,6,6,3.977083
2009,10,6,7,4.868033
2009,10,7,0,4.726585
2009,10,7,1,5.866247
2009,10,7,2,4.724823
2009,10,7,3,4.02264
2009,10,7,4,5.705506
2009,10,7,5,7.211241
2009,10,7,6,7.893573
2009,10,7,7,7.578334
2009,10,8,0,7.533409
2009,10,8,1,8.395814
2009,10,8,2,8.607546
2009,10,8,3,9.232636
2009,10,8,4,9.766026
2009,10,8,5,9.065549
2009,10,8,6,7.695587
2009,10,8,7,6.98505
2009,10,9,0,7.426132
2009,10,9,1,6.825999
2009,10,9,2,4.803538
2009,10,9,3,2.30007
2009,10,9,4,1.29924
2009,10,9,5,3.063575
2009,10,9,6,4.001409
2009,10,9,7,3.790479
2009,10,10,0,3.929203
2009,10,10,1,4.654708
2009,10,10,2,3.129114
2009,10,10,3,2.042833
2009,10,10,4,3.19907
2009,10,10,5,4.892545
2009,10,10,6,5.290346
2009,10,10,7,3.209321
2009,10,11,0,2.982717
2009,10,11,1,3.654396
2009,10,11,2,4.245668
2009,10,11,3,3.609847
2009,10,11,4,2.377
2009,10,11,5,2.624022
2009,10,11,6,1.602711
2009,10,11,7,1.520244
2009,10,12,0,1.694155
2009,10,12,1,2.516786
2009,10,12,2,0.713082
2009,10,12,3,3.006241
2009,10,12,4,4.059547
2009,10,12,5,5.784034
2009,10,12,6,8.066783
2009,10,12,7,8.690634
2009,10,13,0,9.257956
2009,10,13,1,11.333211
2009,10,13,2,12.376475
2009,10,13,3,11.085982
2009,10,13,4,12.454677
2009,10,13,5,13.467512
2009,10,13,6,15.838813
2009,10,13,7,17.962312
2009,10,14,0,20.203002
2009,10,14,1,22.08473
2009,10,14,2,21.724921
2009,10,14,3,20.834826
2009,10,14,4,19.909136
2009,10,14,5,17.435061
2009,10,14,6,16.26789
2009,10,14,7,16.295651
2009,10,15,0,14.394052
2009,10,15,1,11.542211
2009,10,15,2,9.111557
2009,10,15,3,7.877917
2009,10,15,4,7.035023
2009,10,15,5,5.732928
2009,10,15,6,5.211108
2009,10,15,7,5.204349
2009,10,16,0,4.778474
2009,10,16,1,4.837059
2009,10,16,2,2.914851
2009,10,16,3,0.798406
2009,10,16,4,0.949311
2009,10,16,5,1.020089
2009,10,16,6,0.262766
2009,10,16,7,0.995695
2009,10,17,0,1.028884
2009,10,17,1,0.788951
2009,10,17,2,0.653587
2009,10,17,3,0.827004
2009,10,17,4,1.419017
2009,10,17,5,1.559738
2009,10,17,6,1.151867
2009,10,17,7,1.231635
2009,10,18,0,0.539562
2009,10,18,1,0.395863
2009,10,18,2,2.572672
2009,10,18,3,4.515603
2009,10,18,4,4.878552
2009,10,18,5,5.649827
2009,10,18,6,6.815772
2009,10,18,7,6.778846
2009,10,19,0,7.070657
2009,10,19,1,10.203733
2009,10,19,2,12.450452
2009,10,19,3,12.46869
2009,10,19,4,12.407322
2009,10,19,5,14.285882
2009,10,19,6,15.861732
2009,10,19,7,16.900775
2009,10,20,0,18.916158
2009,10,20,1,21.63051
2009,10,20,2,23.403467
2009,10,20,3,18.96473
2009,10,20,4,19.443485
2009,10,20,5,18.880955
2009,10,20,6,19.896553
2009,10,20,7,20.469168
2009,10,21,0,19.94091
2009,10,21,1,16.964936
2009,10,21,2,13.732308
2009,10,21,3,15.254563
2009,10,21,4,15.901572
2009,10,21,5,15.883459
2009,10,21,6,13.193549
2009,10,21,7,10.955994
2009,10,22,0,11.622439
2009,10,22,1,12.705732
2009,10,22,2,9.751739
2009,10,22,3,7.38822
2009,10,22,4,7.705134
2009,10,22,5,8.522575
2009,10,22,6,8.81833
2009,10,22,7,7.001582
2009,10,23,0,6.851806
2009,10,23,1,9.055399
2009,10,23,2,10.011536
2009,10,23,3,8.697611
2009,10,23,4,6.301107
2009,10,23,5,5.488902
2009,10,23,6,7.547813
2009,10,23,7,7.173324
